Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Power_inlet_vertical","Wurth-694106402002",-4.300000,0.600000,180.000000,bottom
"BT1","Battery_Cell","BatteryHolder_Keystone_106_1x20mm",0.642768,0.699999,0.000000,top
"C1","C_0805_1uf","C_0805_2012Metric",4.600000,0.500000,90.000000,top
"C2","C_0805_0.1uf","C_0805_2012Metric",2.800000,2.200000,0.000000,top
"C6","100n","C_0805_2012Metric",4.400000,2.500000,180.000000,top
"C7","22p","C_0805_2012Metric",2.800000,3.100000,180.000000,top
"C8","22p","C_0805_2012Metric",2.600000,3.100000,-90.000000,top
"C9","C_0805_0.1uf","C_0805_2012Metric",3.100000,2.300000,0.000000,top
"C12","C_0805_0.1uf","C_0805_2012Metric",5.300000,0.600000,90.000000,top
"C14","C_0805_0.1uf","C_0805_2012Metric",1.000000,1.900000,0.000000,top
"C15","C_0805_10uf","C_0805_2012Metric",1.000000,1.800000,0.000000,top
"C16","C_0805_0.1uf","C_0805_2012Metric",3.100000,0.200000,0.000000,top
"C17","C_0805_10uf","C_0805_2012Metric",3.100000,0.300000,0.000000,top
"D1","LED_0805","LED_0805_2012Metric",2.900000,3.000000,0.000000,top
"D2","KWM-30881XVB","KWM-30881CVB",1.100000,2.500000,0.000000,top
"DS5","LED_Display_1001","Adafruit-1001-0-0-MFG",2.900000,1.700000,90.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",5.200000,2.650000,0.000000,top
"J5","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",3.400000,3.300000,0.000000,top
"R1","R_0805_10K","R_0805_2012Metric",3.700000,3.100000,-90.000000,top
"R2","R_0805_10K","R_0805_2012Metric",2.100000,2.800000,90.000000,top
"R5","R_0805_4.7K","R_0805_2012Metric",4.100000,2.200000,180.000000,top
"R6","R_0805_4.7K","R_0805_2012Metric",4.000000,1.900000,-90.000000,top
"R7","10K","R_0805_2012Metric",4.100000,2.400000,-90.000000,top
"R10","R_0805_22K","R_0805_2012Metric",0.700000,1.200000,0.000000,top
"R12","R_0805_47","R_0805_2012Metric",4.400000,2.700000,180.000000,top
"R13","R_0805_47","R_0805_2012Metric",4.400000,2.800000,180.000000,top
"R16","R_0805_10K","R_0805_2012Metric",5.400000,1.700000,-90.000000,top
"R17","R_0805_10K","R_0805_2012Metric",5.200000,1.400000,90.000000,top
"R20","R_0805_2.2K","R_0805_2012Metric",3.100000,3.000000,180.000000,top
"R21","R_0805_22K","R_0805_2012Metric",3.000000,0.400000,180.000000,top
"SW1","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.400000,2.200000,0.000000,top
"SW2","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",4.000000,3.200000,0.000000,top
"SW3","Omron_B3F_SPST","SW_SPST_Omron_B3FS-100xP",2.100000,3.200000,0.000000,top
"U1","ATmega328-PU","DIP-28_W7.62mm",3.600000,2.749606,-90.000000,top
"U2","L7805","TO-252-2",4.900000,0.500000,-90.000000,top
"U3","DS1307_DIP-8","DIP-8_W7.62mm",4.550394,1.849606,0.000000,top
"U4","MAX7219","DIP-24_W7.62mm",0.500000,1.350394,90.000000,top
"U6","MAX7219","DIP-24_W7.62mm",3.550197,0.949606,-90.000000,top
"U10","ADT7410","SOIC-8_3.9x4.9mm_P1.27mm",5.100000,1.600000,0.000000,top
"Y1","Crystal","Crystal_SMD_2Pin_3.2x1.5mm",2.700000,2.900000,180.000000,top
"Y2","Crystal_32768Hz","Crystal_SMD_2Pin_3.2x1.5mm",4.400000,1.800000,90.000000,top
